Back,Back
"Delete Request","Delete Request"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Request","Save Request"
"Can't find your %1 ?","Can't find your %1 ?"
Cap,Cap
"Rma Request","Rma Request"
"You deleted the request #%1.","You deleted the request #%1."
"We can't find a request to delete.","We can't find a request to delete."
"This request no longer exists.","This request no longer exists."
"Edit Request","Edit Request"
"New Request","New Request"
"Rma Requests","Rma Requests"
"Please correct the data sent.","Please correct the data sent."
"You saved the request.","You saved the request."
"Something went wrong while saving the request.","Something went wrong while saving the request."
"Stock Request","Stock Request"
"Stock Requests","Stock Requests"
"We deleted %1 request(s).","We deleted %1 request(s)."
"You're request have been submitted.","You're request have been submitted."
"Could not save the request: %1","Could not save the request: %1"
"Could not delete the request: %1","Could not delete the request: %1"
"Request %1 does not exist.","Request %1 does not exist."
Pending,Pending
Processing,Processing
Complete,Complete
Closed,Closed
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.entity_id }""","Delete ""${ $.$data.entity_id }"""
"Are you sure you wan't to delete the request #${ $.$data.entity_id } ?","Are you sure you wan't to delete the request #${ $.$data.entity_id } ?"
"Delete Request #${ $.$data.entity_id }","Delete Request #${ $.$data.entity_id }"
"Request: ","Request: "
"Your Name","Your Name"
"Your Email","Your Email"
"Please select an option","Please select an option"
"Your Message","Your Message"
Submit,Submit
Cap340,Cap340
Request,Request
"General Configuration","General Configuration"
"Enable Module","Enable Module"
"Stock Customer Request","Stock Customer Request"
Enable.,Enable.
"Attributes Sorting Order.","Attributes Sorting Order."
"comma separated attribute codes. <em>(like: color,size)<em>","comma separated attribute codes. <em>(like: color,size)<em>"
"Default Message.","Default Message."
"Return Customer Request","Return Customer Request"
"General Information","General Information"
product_id,product_id
order_id,order_id
customer_id,customer_id
"Add new Rma Request","Add new Rma Request"
ID,ID
product_sku,product_sku
product_name,product_name
customer_name,customer_name
customer_email,customer_email
status,status
message,message
created_at,created_at
updated_at,updated_at
"Add new Stock Request","Add new Stock Request"
"Product Id","Product Id"
Thumbnail,Thumbnail
"Product Sku","Product Sku"
"Product Name","Product Name"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
Status,Status
"Created At","Created At"
"Updated At","Updated At"
